编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
593	金融法	法学教研室		2	0	50	李晓桃	"9-16,9-16"	"?10304,30506"	"教一楼二区205,教三楼108（黄家湖）"	选修	学科基础平台课程
594	三维CAD技术	机电所		2	32	25	饶刚	"4-9,4-10"	"?20708,10102"	"教一楼一区302,教一楼二区302"	选修	专业任选课程
595	社会保障学	行政管理教研室		3	61	73	罗莉	"2-13,2-13"	"?40506,20506"	"教一楼一区302,教一楼一区303"	选修	专业任选课程
596	有限元法的设计与实现	力学教研室		2.5	48	36	李欣宇	"1-9,1-8"	"?20102,40102"	"教一楼一区406,教一楼一区406"	选修	专业方向课程2
597	工程测试技术	理学院		1.5	55	29	段卫东	"11-16,11-16"	"?20304,40304"	"教一楼一区407,教一楼一区407"	选修	专业任选课程
598	工程测量	理学院		2	44	40	李明方	1月11日	?20708	教一楼一区108	选修	专业任选课程
599	给水排水工程建设监理	给水排水教研室		1.5	80	10	季斌	"11-16,11-16"	"?20506,50708"	"教三楼211（黄家湖）,教三楼109（黄家湖）"	选修	专业任选课程
600	社会心理学	文法与经济学院		2	31	19	陈佳	"2-9,2-9"	"?30304,10304"	"教一楼二区406,教一楼二区204"	选修	专业任选课程
601	深基坑工程	结构教研室	土木工程方向3	3	20	30	杨泰华	"1-12,1-12"	"?30304,50304"	"教一楼二区204,教一楼二区204"	选修	专业方向课程3
602	道桥设计软件应用	结构教研室	土木工程方向2	2	38	52	孙杰	"7-9,7-10"	"?40304,20304"	"教三楼210（黄家湖）,教三楼306（黄家湖）"	选修	专业任选课程
603	创业学	文法全院		3	103	31	贺尊	"1-12,1-12"	"?50304,20102"	"教一楼三区310,教一楼三区406"	选修	专业任选课程
604	计算机程序设计基础(C)	计算机科学教研室		4	61	29	吴志祥	"16-18,2-18"	"?50506,10506"	"教三楼408（黄家湖）,教三楼408（黄家湖）"	选修	学科基础平台课程
605	日语（一）	外语系		3	52	0	肖燕	"3-14,3-14"	"?50708,30708"	"教一楼二区103,教四楼二区112"	选修	专业任选课程
