编号	课程名称	开课单位	专业方向	学分	已选人数	余量	授课老师	上课周次	上课时间	上课地点	课程属性	课程性质
1	软件测试技术与工具	软件工程教研室		2.5	33	17	王磊	"4-11,4-10"	"?10708,50304"	"教一楼二区305,教一楼二区104"	选修	专业任选课程
2	锅炉与锅炉房设计	暖通教研室		2.5	70	20	刘冬华	"5-13,5-13"	"?40102,20102"	"教三楼309（黄家湖）,教三楼309（黄家湖）"	选修	专业方向课程1
3	当代建筑作品解析	城市建设学院		1.5	70	20	 周乐	"13-18,13-18"	"?50102,30102"	"教三楼109（黄家湖）,教三楼109（黄家湖）"	选修	专业任选课程
4	环境卫生学	医学院		3	67	67	陈丹	"11-12,1-5,7-12,1-5,7-12,11-12,1-5,7-12,1-5,7-12"	"?50304,30506,20506,50304,30506,20506"	"教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101,教一楼一区101"	选修	专业方向课程1
5	数据库技术	自动化系		3	146	4	尉宇	"1-7,1-7"	"?40304,20102"	"教一楼一区210,教一楼三区105"	选修	专业任选课程
6	信息检索与利用	图书馆		1	94	46	卢颖婷	2月9日	?50506	教三楼206（黄家湖）	选修	专业任选课程
7	微分方程	信息与计算科学系		2.5	117	3	杨芬	"1-10,1-10"	"?40102,20102"	"教一楼三区206,教一楼一区504"	选修	学科基础平台课程
8	概率论与数理统计	信息与计算科学系		3	112	8	李春丽	"7-18,7-18"	"?30304,50304"	"教一楼一区204,教一楼一区204"	选修	学科基础平台课程
9	信息资源管理	信息管理系		3	44	46	严亚兰	"1-12,1-12"	"?10304,40708"	"教三楼210（黄家湖）,教三楼210（黄家湖）"	选修	专业方向课程1
10	简明医学史	医学院		1	63	37	袁修学	"13-16,13-16"	"?20708,40304"	"教一楼一区104,教一楼一区104"	选修	学科基础平台课程
11	复变函数与积分变换	信息与计算科学系		3	162	-1	喻敏	"1-12,1-12"	"?20506,40506"	"教一楼三区205,教一楼三区205"	选修	学科基础平台课程
12	线性代数	信息与计算科学系		2	113	21	张婷	"1-8,1-8"	"?20102,40102"	"教一楼一区303,教一楼一区303"	选修	学科基础平台课程
13	公众救护	内科学教研室		1	31	69	刘效锋	"3-5,3-4"	"?20708,40506"	"教一楼一区104,教一楼一区104"	选修	专业任选课程
14	免疫接种与传染病防治	医学院		1	29	55	王强	"15-16,15-17,15-17"	"?50506,10304,40304"	"教一楼一区308,教一楼一区209,教一楼一区207"	选修	专业任选课程
15	桥梁抗震	结构教研室	土木工程方向2	2	37	103	姜天华	"1-8,1-8"	"?40102,20102"	"教三楼404（黄家湖）,教三楼404（黄家湖）"	选修	专业任选课程
16	世界政治经济与国际关系	政治学教研室		2	61	92	李曼	"1-8,1-8"	"?40102,20102"	"教四楼一区101,教四楼一区101"	选修	专业任选课程
17	Java程序设计	理学院		3	17	41	李琳娜	"7-12,7-12"	"?20304,40304"	"汽车楼206,管理楼112"	选修	专业任选课程
18	办公自动化	文法与经济学院		2	17	53	王小玲	"1-8,1-8"	"?30304,10506"	"教四楼一区306,教四楼一区306"	选修	专业任选课程
19	卫生微生物检验	天佑医院		3	61	73	周俊	"7-12,7-12"	"?40304,20304"	"教一楼三区406,教一楼三区406"	必修	专业核心课程
20	模拟电子技术	电子信息工程系		4	94	40	张涛	"3-18,3-18"	"?30506,10506"	"教一楼一区402,教一楼一区402"	必修	学科基础平台课程
21	电路分析基础（二）	电工电子基础课部		2.5	90	53	曹阳	"1-14,2,4,6,8,10,12"	"?20304,30102"	"教二楼一区201,教二楼一区101"	必修	学科基础平台课程
22	英语听力B(二)	外国语学院		3	34	14	黄朝恒	"1-12,1-12"	"?30102,10506"	"教四楼二区106,教四楼二区404"	必修	学科基础平台课程
23	概率论与数理统计	理学院		3	111	23	涂俐兰	"7-18,7-18"	"?20102,40102"	"教一楼一区202,教一楼一区202"	必修	学科基础平台课程
24	线性代数	信息与计算科学系		2	95	5	张传洲	"2-9,2-9"	"?50506,10708"	"教一楼三区205,教一楼三区206"	必修	学科基础平台课程
25	企业战略管理	工商管理系		3	51	37	梁小威	"7-18,7-18"	"?30304,10304"	"管理楼103,管理楼102"	必修	专业核心课程
26	大学物理B(二)	应用物理系		1.5	90	30	季玲玲	"2-7,2-7"	"?30506,10506"	"教一楼三区404,教一楼三区404"	必修	学科基础平台课程
27	大学物理A(二)	理学院		3	88	55	李云宝	"1-12,1-12"	"?50102,20102"	"教二楼一区101,教二楼一区101"	必修	学科基础平台课程
28	现代汉语	行政管理教研室		2.5	28	62	魏敏	"9-18,9-18"	"?20304,40304"	"教四楼一区103,教四楼一区103"	必修	通识教育平台课程
29	微观经济学	文法与经济学院		3	30	20	陈莉华	"7-18,7-18"	"?30304,50708"	"管理楼110,管理楼112"	必修	学科基础平台课程
30	管理学原理	工商管理系		3	67	23	邵琼	"7-18,7-18"	"?20708,40708"	"教一楼一区101,教三楼108（黄家湖）"	必修	学科基础平台课程
31	MATLAB语言	电子信息工程系		2.5	77	7	廖宇峰	"5-10,5-10"	"?50102,10304"	"教一楼三区101,教一楼一区201"	必修	学科基础平台课程
32	离散数学	信息与计算科学系		4.5	82	52	杨波	"5-16,5-16,5-16"	"?30506,50304,10506"	"教一楼三区209,教一楼三区209,教一楼三区209"	必修	专业核心课程
33	工程力学B	力学教研室		4.5	66	18	李明(女)	"1-11,1-11,1-11"	"?50506,30102,10102"	"教一楼一区208,教一楼一区208,教一楼一区209"	必修	专业核心课程
34	理论力学B	力学教研室		4.5	61	23	牛清勇	"1-12,1-12,1-12"	"?10506,30708,50304"	"教一楼一区203,教一楼一区405,教一楼一区405"	必修	学科基础平台课程
35	复变函数与积分变换	理学院		2.5	100	0	喻敏	"2-11,2-11"	"?20708,40708"	"教一楼三区205,教一楼三区205"	必修	学科基础平台课程
36	线性代数	理学院		2	113	21	彭静	"1-8,1-8"	"?40304,10506"	"教一楼一区403,教一楼一区201"	必修	学科基础平台课程
37	大学物理B(二)	应用物理系		1.5	112	8	周怡	"1-6,1-6"	"?30506,50304"	"教一楼三区104,教一楼三区104"	必修	学科基础平台课程
38	电工技术	电工电子基础课部		2	66	18	胡月华	"1-10,9-10"	"?20304,40102"	"教一楼一区308,教一楼一区102"	必修	学科基础平台课程
39	JAVA编程技术	软件工程教研室		3	31	59	廖光忠	"1-9,1-8"	"?40304,20506"	"教三楼408（黄家湖）,教三楼408（黄家湖）"	必修	专业核心课程
40	基础笔译	翻译教研室		3	28	24	林溪	"4-15,4-15"	"?20102,40102"	"教四楼二区104,教四楼二区110"	必修	专业核心课程
41	PBL专题教学1	医全院		1	29	23	袁修学	"14-17,14-17"	"?30304,20102"	"教一楼一区107,教一楼二区208"	必修	学科基础平台课程
42	财务管理学	财务会计系		3	96	38	黎精明	"4-15,4-15"	"?30506,20506"	"教三楼407（黄家湖）,教一楼三区406"	必修	专业核心课程
43	工程测量	城市建设学院		1.5	60	30	张从海	"11-16,11-16"	"?30708,50102"	"教三楼209（黄家湖）,教三楼205（黄家湖）"	必修	学科基础平台课程
44	建筑力学	结构教研室		3	59	31	陈朝峰	"1-10,1-10,7-10"	"?50304,30708,10708"	"教三楼210（黄家湖）,教三楼210（黄家湖）,教三楼211（黄家湖）"	必修	学科基础平台课程
45	大学物理A(二)	应用物理系		3	102	32	徐麦容	"2-13,2-13"	"?10304,30304"	"教一楼一区401,教一楼一区403"	必修	学科基础平台课程
46	中级英语听力与写作	外语系		3	49	41	吴燕	"3-14,3-14"	"?10506,30506"	"教四楼二区103,教四楼二区103"	必修	通识教育平台课程
47	计算机程序设计基础(C)	计算机科学与技术学院		4	31	59	余志兵	"2-18,2-4"	"?40506,20708"	"教三楼308（黄家湖）,教三楼409（黄家湖）"	必修	学科基础平台课程
48	电路分析基础（二）	电工电子基础课部		2.5	111	32	曹阳	"2,4,6,8,10,12,1-14"	"?50304,20102"	"教二楼二区301,教二楼二区201"	必修	学科基础平台课程
49	JAVA编程技术	计算机科学与技术学院		3	79	61	刘宇	"1-9,1-8"	"?30506,10506"	"教三楼105（黄家湖）,教三楼105（黄家湖）"	必修	专业核心课程
50	微生物学与免疫学	微生物学教研室		3	64	20	"王强,陈慧"	"3-5,7-11,3-5,7-11,3-5,7-11,3-5,7-11"	"?10304,30304,10304,30304"	"教一楼一区308,教一楼一区308,教一楼一区308,教一楼一区308"	必修	学科基础平台课程
51	大学物理B(二)	应用物理系		1.5	130	0	周怡	"1-6,1-6"	"?10102,30102"	"教一楼一区103,教一楼一区103"	必修	学科基础平台课程
52	医学微生物学	微生物学教研室		3	57	27	"周俊,邓海英,卢莉莉"	"1-9,1-9,1-9,1-9,1-9,1-9"	"?10304,50304,10304,50304,10304,50304"	"教一楼一区107,教一楼一区107,教一楼一区107,教一楼一区107,教一楼一区107,教一楼一区107"	必修	学科基础平台课程
53	卫生事业管理学	医学院		2	48	36	"王晓南,张连生"	"12-16,12-16,12-17,12-16,12-16,12-17"	"?30304,50304,20304,30304,50304,20304"	"教三楼408（黄家湖）,教一楼一区207,教一楼一区308,教三楼408（黄家湖）,教一楼一区207,教一楼一区308"	必修	专业核心课程
54	金工实习C	工程训练中心		1	152	148	周幼庆	2月9日	?501020304	工程训练中心203	必修	实践教学模块
55	药物流行病学	统计学与流行病学教研室		2	31	53	叶方立	"1-4,1-4"	"?10102,30506"	"教一楼三区501,教一楼三区501"	选修	专业任选课程
56	建筑物理(一)	建筑学教研室		2	35	55	叶隽	"1-7,1-7"	"?50102,30708"	"教三楼308（黄家湖）,教三楼308（黄家湖）"	必修	专业核心课程
57	软件工程	计算机科学与技术学院		3.5	119	21	赵红武	"6-16,6-17"	"?50304,30506"	"教三楼305（黄家湖）,教三楼406（黄家湖）"	必修	专业核心课程
58	计算机组成原理	计算机应用教研室		3.5	67	23	胡威	"5-18,5-18"	"?10102,30708"	"教三楼408（黄家湖）,教三楼108（黄家湖）"	必修	专业核心课程
59	专业英语	计算机应用教研室		2	36	14	王晓峰	"8-15,8-15"	"?10708,40304"	"教一楼二区104,教一楼二区505"	选修	专业任选课程
60	基础工程B	结构教研室	土木工程方向2	2	114	26	李丹	"1-8,1-8"	"?30102,10102"	"教三楼404（黄家湖）,教三楼404（黄家湖）"	选修	专业方向课程2
61	环境科学导论	给水排水教研室		1	72	18	郭圣华	"11-14,11-14"	"?50304,20506"	"教三楼309（黄家湖）,教三楼309（黄家湖）"	选修	专业任选课程
62	第二外语(二)	外语系		3.5	26	26	肖燕	"1-14,1-14"	"?50506,30506"	"教一楼二区102,教四楼二区112"	必修	通识教育平台课程
63	弹性力学	力学教研室		2	114	20	韩芳	"1-8,1-8"	"?10304,30304"	"教一楼一区403,教一楼一区502"	选修	专业任选课程
64	运输经济学	交通运输系		1.5	30	22	孟芳	"2-7,2-7"	"?50304,30708"	"教四楼二区106,教一楼二区106"	必修	专业核心课程
65	结构力学	交通工程系		3	75	65	"柳祖鹏,朱晓宏"	"3-10,3-10,3-10,3-10,3-10,3-10"	"?10506,30506,50304,10506,30506,50304"	"教一楼三区106,教三楼206（黄家湖）,教一楼一区310,教一楼三区106,教三楼206（黄家湖）,教一楼一区310"	必修	专业核心课程
66	水泵与水泵站	给水排水教研室		2.5	83	7	刘晓艳	"1-9,1-9"	"?30102,50304"	"教三楼211（黄家湖）,教三楼211（黄家湖）"	必修	专业核心课程
67	暖通空调	暖通教研室		1	50	40	刘冬华	"5-8,5-8"	"?40304,20304"	"教三楼309（黄家湖）,教三楼309（黄家湖）"	选修	专业任选课程
68	晶体学	应用物理系		2	45	39	侯廷平	"11-18,11-18"	"?20506,40506"	"教一楼一区109,教一楼一区109"	选修	专业任选课程
69	信息工程概论	信息与计算科学系		3	60	24	王文波	"6-17,6-17"	"?20506,50506"	"教一楼一区207,教一楼一区209"	必修	专业核心课程
70	交通规划	交通工程系		3	75	42	杜胜品	"8-15,8-15,8-15"	"?10102,30102,50506"	"汽车楼204,汽车楼204,汽车楼204"	必修	专业核心课程
71	道路工程CAD	交通工程系		1.5	75	42	"柳祖鹏,朱晓宏"	"10-15,10-15,10-15,10-15"	"?10304,30304,10304,30304"	"汽车楼204,汽车楼204,汽车楼204,汽车楼204"	必修	专业核心课程
72	财政与税收	文法与经济学院		3	72	68	程红丹	"7-18,7-18"	"?20304,40304"	"教三楼107（黄家湖）,教三楼107（黄家湖）"	必修	学科基础平台课程
73	现代物流管理	交通运输系		2	30	20	卿前恺	"1-8,1-8"	"?30506,10506"	"教一楼二区407,教一楼二区305"	必修	专业核心课程
74	社区矫正与社区服务	社会工作教研室		2.5	23	29	袁年兴	"1-9,5-6,1-9"	"?50304,20506,10102"	"教一楼三区103,教一楼二区103,教一楼三区103"	选修	专业方向课程1
75	职业生涯规划与就业创业指导	学工处通识课程教研室		1	103	31	李鲤	"1-4,1-4"	"?10506,50506"	"教一楼一区303,教一楼一区502"	必修	通识教育平台课程
76	水资源利用与保护	给水排水教研室		2	83	7	刘晓艳	"1-8,1-8"	"?10102,40102"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	必修	专业核心课程
77	英国文学史及选读	外语系		4	31	21	陈尧	"1-16,1-16"	"?20102,50102"	"教一楼二区102,教一楼二区102"	必修	专业核心课程
78	工程测试技术	汽车运用系		2	67	23	麻友良	"11-16,11-17"	"?30304,10304"	"汽车楼202,汽车楼202"	必修	专业核心课程
79	经济德语	德语系		2	27	25	王旸	1月16日	?10304	教一楼二区207	选修	专业方向课程1
80	城市详细规划原理	建筑学教研室		2	33	57	秦宗秀	"7-8,12-17,12-13,7-8,12-17"	"?10102,20506,30102"	"教三楼209（黄家湖）,教三楼209（黄家湖）,教三楼209（黄家湖）"	必修	专业核心课程
81	建筑环境学	暖通教研室		2.5	71	19	陈敏	"8-17,8-16"	"?20102,40102"	"教三楼211（黄家湖）,教三楼211（黄家湖）"	必修	专业核心课程
82	小组工作	社会工作教研室		3	23	35	袁年兴	"10-18,18,9-18"	"?10102,20304,20102"	"管理楼111,教一楼三区103,教一楼三区103"	必修	专业核心课程
83	公众救护	内科学教研室		1	98	22	刘效峰	"3-5,3-5"	"?50304,40708"	"教一楼一区105,教一楼一区105"	选修	专业任选课程
84	翻译理论与实践	外语系		3	34	18	殷燕	"1-12,1-12"	"?20506,40506"	"教四楼二区106,教四楼二区106"	必修	专业核心课程
85	高级英语(一)	外语系		4	36	16	续纪	"1-16,1-16"	"?10304,50304"	"教四楼二区112,教四楼二区110"	必修	专业核心课程
86	漆画	美术系（公共艺术		3.5	21	29	陈果	"16-18,16-18,16-18,16-18,16-17"	"?205060708,405060708,105060708,301020304,505060708"	"教一楼二区809,教一楼二区809,教一楼二区809,教一楼二区809,教一楼二区809"	必修	专业核心课程
87	圆雕（一）	美术系（公共艺术		3.5	29	21	裴磊	"3-5,3-5,3-4,3-5,3-5"	"?301020304,101020304,501020304,401020304,201020304"	"教三楼006,教三楼006,教三楼006,教三楼006,教三楼006"	必修	学科基础平台课程
88	产品专题设计（二）	工业设计系		2	72	12	胡康	"12-15,12-15"	"?205060708,401020304"	"教五楼二区405,教一楼三区202"	选修	专业方向课程1
89	快题设计	艺术设计系		3	40	10	李菁	"4-5,7-10,4-5,7-10"	"?501020304,305060708"	"教一楼二区804,教一楼二区804"	选修	专业任选课程
90	室内设计（四）	艺术设计系		3.5	40	10	翁雯霞	"4-5,7-9,4-5,7-9,4-5,7-8"	"?201020304,101020304,401020304"	"教一楼二区804,教一楼二区804,教一楼二区804"	选修	专业方向课程1
91	景观设计（三）	艺术设计系		4	42	8	侯涛	"9-12,9-12,9-12,9-12"	"?501020304,201020304,401020304,305060708"	"教一楼二区807,教一楼二区807,教一楼二区807,教一楼二区807"	选修	专业任选课程
92	西方美术史(一)	艺术全院		1.5	24	66	外聘教师A	13-18	?105060708	教五楼二区405	必修	专业核心课程
93	造型基础	工业设计系		4	39	51	雷鸣	"4-5,7-12,4-5,7-12"	"?301020304,105060708"	"教五楼二区408,教五楼二区408"	必修	学科基础平台课程
94	版式设计	工业设计系		2.5	28	62	吴菁	"15-18,13-18"	"?301020304,105060708"	"教五楼二区407,教五楼二区407"	选修	学科基础平台课程
95	摄影	工业设计系		2	28	62	雷鸣	"4-5,7-12"	?501020304	教五楼二区408	选修	学科基础平台课程
96	设计表达（一）	艺术设计系		3	38	19	赵音	"4-5,7-10,4-5,7-10"	"?301020304,105060708"	"教一楼二区602,教一楼二区602"	必修	专业核心课程
97	环境艺术初步	艺术设计系		3	37	47	袁心平	"11-14,11-14,11-14"	"?105060708,501020304,301020304"	"教一楼三区102,教一楼三区103,教一楼三区202"	必修	学科基础平台课程
98	素描(三)	艺术全院		3	24	26	江澜	"1-3,1-3,1-3,1-3"	"?301020304,501020304,201020304,401020304"	"教五楼二区404,教五楼二区404,教五楼二区404,教五楼二区404"	必修	学科基础平台课程
99	产品专题设计（一）	工业设计系		2	37	53	吴菁	"8-11,8-11"	"?301020304,101020304"	"教五楼二区405,教五楼二区405"	选修	专业方向课程1
100	数字媒体设计与制作（二）	艺术设计系		4	40	10	白雪	"7-10,7-10,7-10,7-10"	"?201020304,401020304,301020304,101020304"	"艺术学院机房205,艺术学院机房205,艺术学院机房205,艺术学院机房205"	选修	专业方向课程1
101	漆画（一）	美术系（公共艺术		3.5	29	21	陈果	"9-11,9-11,9-11,9-10,9-11"	"?105060708,405060708,205060708,505060708,305060708"	"教一楼二区903,教一楼二区903,教一楼二区903,教一楼二区903,教一楼二区903"	必修	专业核心课程
102	产品材料与制造工艺	工业设计系		3.5	37	53	艾险峰	"12-18,12-18"	"?505060708,405060708"	"教五楼二区405,教五楼二区408"	必修	专业核心课程
103	CI设计	工业设计系		2.5	22	62	曹亚丽	"14-18,14-18"	"?101020304,501020304"	"教五楼二区407,教一楼三区202"	选修	专业任选课程
104	景观设计(二)	艺术设计系		4	40	10	李丽媛	"12-15,12-15,11-14,12-15"	"?401020304,201020304,305060708,505060708"	"教五楼二区402,教五楼二区402,教五楼二区402,教五楼二区402"	必修	专业核心课程
105	概率论与数理统计	理学院		3	84	50	徐帆	"7-18,7-18"	"?40102,20102"	"教一楼一区301,教一楼一区301"	必修	学科基础平台课程
106	荷载与结构设计原理	结构教研室	土木工程方向1	1	54	86	许成祥	"2-5,2-5"	"?40304,20304"	"教三楼205（黄家湖）,教三楼205（黄家湖）"	选修	专业任选课程
107	三维CAD技术	机电所		2	113	7	左兵权	"9-16,9-16"	"?40708,10304"	"教一楼一区104,教一楼一区104"	选修	专业任选课程
108	马克思主义基本原理	哲学教研室		3	39	61	汪忠杰	"7-16,7-16"	"?50304,30304"	"教一楼一区306,教一楼一区201"	必修	通识教育平台课程
109	马克思主义基本原理	文法与经济学院		3	130	0	严炜	"7-16,7-16"	"?20708,40708"	"教一楼一区306,教一楼一区305"	必修	通识教育平台课程
110	马克思主义基本原理	文法与经济学院		3	130	0	李勇	"7-16,7-16"	"?40506,20506"	"教一楼一区206,教一楼一区206"	必修	通识教育平台课程
111	马克思主义基本原理	文法与经济学院		3	116	0	李蓉	"7-16,7-16"	"?30304,10304"	"教一楼一区503,教一楼一区503"	必修	通识教育平台课程
112	马克思主义基本原理	文法与经济学院		3	130	0	张春晖	"7-16,7-16"	"?30506,10506"	"教一楼一区504,教一楼一区504"	必修	通识教育平台课程
113	马克思主义基本原理	哲学教研室		2	84	0	汪忠杰	"3-10,3-10"	"?40708,40910"	"教一楼三区202,教一楼三区202"	必修	通识教育平台课程
114	建筑结构抗震设计	结构教研室	土木工程方向1	2.5	70	20	"邹垚,岳红辉"	"1-10,1-10"	"?601020304,601020304"	"教三楼208（黄家湖）,教三楼208（黄家湖）"	选修	专业方向课程1
115	英语听力B(二)	外语系		2	31	26	田芳	1月16日	?50506	教一楼二区301	必修	学科基础平台课程
116	大学物理B(二)	理学院		1.5	121	-1	邵亮	"1-6,1-6"	"?40304,20304"	"教一楼一区304,教一楼一区304"	必修	学科基础平台课程
117	材料力学B	力学教研室		4	73	11	黄照平	"1-8,11-12,1-8,11,1-8,11"	"?10102,50304,30102"	"教一楼一区407,教一楼一区407,教一楼一区407"	必修	学科基础平台课程
118	物理化学B(一)	化学系		2	57	27	许想娇	"3-10,3-10"	"?50304,10708"	"教二楼二区101,教一楼一区107"	必修	学科基础平台课程
119	物理化学B(一)	化学工程与技术学院		2	57	77	郭光辉	"3-10,3-10"	"?20708,50506"	"教一楼一区201,教一楼一区402"	选修	学科基础平台课程
120	分析化学B	化学系		2	56	34	黄艳芬	"3-10,3-10"	"?50304,30102"	"教三楼408（黄家湖）,教三楼408（黄家湖）"	必修	专业核心课程
121	物理化学A(一)	化学系		2.5	65	19	郭光辉	"1-10,1-10"	"?20506,50102"	"教一楼一区201,教一楼三区103"	必修	专业核心课程
122	物理化学A(一)	化学工程与技术学院		2.5	104	39	许想娇	"1-10,1-10"	"?50506,10506"	"教二楼一区201,教一楼一区205"	必修	专业核心课程
123	实验力学	力学教研室		3	29	55	李明方	"1-9,1-9"	"?50506,20506"	"教一楼一区307,教一楼一区108"	必修	专业核心课程
124	电路电子技术	信息科学与工程学院		4	107	33	李德芳	"1-12,1-12"	"?20304,50506"	"教三楼407（黄家湖）,教三楼406（黄家湖）"	选修	学科基础平台课程
125	模拟电子技术	电工电子基础课部		4	76	58	张彦	"2-17,2-17"	"?20506,50506"	"教一楼一区102,教一楼一区102"	必修	学科基础平台课程
126	体育(三)	体育课部		1	25	1	林虎	1月17日	?10506	黄家湖北区运动场	必修	通识教育平台课程
127	体育(三)	体育课部		1	26	0	崔金喜	1月17日	?20506	黄家湖北区运动场	必修	通识教育平台课程
128	体育(三)	体育课部		1	25	1	曾繁繁	1月17日	?20506	黄家湖北区运动场	必修	通识教育平台课程
129	体育(三)	体育课部		1	27	0	卢云飞	1月17日	?50708	黄家湖北区运动场	必修	通识教育平台课程
130	体育(三)	体育课部		1	26	0	廖广云	1月17日	?40708	黄家湖北区运动场	必修	通识教育平台课程
131	体育(三)	体育课部		1	25	1	王小安	1月17日	?30304	黄家湖北区运动场	必修	通识教育平台课程
132	体育(三)	体育课部		1	26	0	伍冬桂	1月17日	?30708	黄家湖北区运动场	必修	通识教育平台课程
133	设计素描	工业设计系		4	0	50	周贺	"7-12,9-10,7-10,7-10"	"?105060708,501020304,401020304,301020304"	"教一楼二区808,教一楼二区808,教一楼二区808,教一楼二区808"	必修	学科基础平台课程
134	设计色彩	工业设计系		4	0	60	赵音	"12-15,12-15,12-15,12-15"	"?305060708,205060708,101020304,40708"	"教一楼二区702,教一楼二区702,教一楼二区702,教一楼二区702"	必修	学科基础平台课程
135	无机化学A(一)	化学系		2.5	0	134	屈小英	"7-16,7-16"	"?10304,40506"	"教一楼三区108,教一楼三区208"	必修	专业核心课程
136	无机化学A(一)	化学系		2.5	4	96	唐艳	"7-16,7-16"	"?40102,30506"	"教一楼一区306,教一楼三区106"	必修	专业核心课程
137	无机化学A(一)	化学系		2.5	0	134	陈阳	"7-16,7-16"	"?30506,50506"	"教一楼三区506,教一楼三区406"	必修	专业核心课程
138	无机化学B	化学系		3	0	143	谢静	"6-17,6-17"	"?40304,10506"	"教二楼二区301,教二楼一区101"	必修	学科基础平台课程
139	基础化学	化学系		2	0	134	彭子琼	"6-13,6-13"	"?10102,50304"	"教一楼三区208,教四楼一区101"	必修	学科基础平台课程
140	计算机科学导论	计算机科学教研室		1	0	134	陈建勋	7月14日	?50708	教一楼一区203	必修	学科基础平台课程
141	计算机科学导论	计算机科学教研室		1	0	98	袁嵩	7月14日	?50304	管理楼107	必修	通识教育平台课程
142	药学导论	药学教研室		2	0	134	"胡霞敏,奚瑾磊,陈亚军,江珍玉,杨曦亮"	"10-17,10-17,10-17,10-17,10-17,10-17,10-17,10-17,10-17,10-17"	"?30102,10708,30102,10708,30102,10708,30102,10708,30102,10708"	"教一楼三区406,教一楼一区201,教一楼三区406,教一楼一区201,教一楼三区406,教一楼一区201,教一楼三区406,教一楼一区201,教一楼三区406,教一楼一区201"	选修	学科基础平台课程
143	体育(一)	体育课部		1	0	25	杜辉	6月18日	?20708	黄家湖南区运动场	必修	通识教育平台课程
144	体育(一)	体育课部		1	0	25	杜辉	6月18日	?40708	黄家湖南区运动场	必修	通识教育平台课程
145	英语口语A(一)	外语系		2	3	47	外教B	"7-17,7-11"	"?20304,40304"	"教一楼二区404,管理楼108"	选修	学科基础平台课程
146	英语阅读(一)	外语系		2	0	50	范丽	"7-17,7-11"	"?50304,20506"	"汽车楼206,汽车楼201"	必修	学科基础平台课程
147	机械制图B(一)	工程图学教研室		2.5	1	49	蒋俊	"7-14,7-14"	"?40506,20708"	"教一楼二区205,教一楼二区304"	必修	专业核心课程
148	综合英语(一)	外语系		6	0	48	张彦	"7-18,7-18,7-18,7-18"	"?50506,10304,40506,20708"	"教四楼二区112,教一楼二区104,管理楼111,汽车楼205"	必修	学科基础平台课程
149	大学计算机基础A	计算机科学教研室		3	0	90	杨治	"7-18,7-9"	"?20304,50304"	"教三楼304（黄家湖）,教三楼209（黄家湖）"	必修	通识教育平台课程
150	大学计算机基础A	计算机科学教研室		3	0	140	李波	"7-9,7-18"	"?10708,40506"	"教三楼205（黄家湖）,教三楼305（黄家湖）"	必修	通识教育平台课程
151	大学计算机基础A	计算机科学教研室		3	0	134	刘琼	"7-18,7-9"	"?40102,20304"	"教三楼407（黄家湖）,教一楼三区507"	必修	通识教育平台课程
152	大学计算机基础B	计算机科学教研室		3	0	134	丁胜	"7-18,7-9"	"?10102,50506"	"教二楼二区201,教一楼三区108"	必修	通识教育平台课程
153	大学计算机基础B	计算机科学教研室		3	0	134	刘琼	"7-18,7-9"	"?40506,20506"	"教三楼407（黄家湖）,教一楼三区507"	必修	通识教育平台课程
154	高等数学A(一)	信息与计算科学系		5	0	140	咸艳霞	"7-18,7-10,7-18,7-18"	"?30102,20102,50102,10102"	"教三楼107（黄家湖）,教三楼206（黄家湖）,教三楼107（黄家湖）,教三楼207（黄家湖）"	必修	学科基础平台课程
155	高等数学A(一)	信息与计算科学系		5	0	100	张青桥	"7-18,7-18,7-18,7-10"	"?30304,50304,10304,20304"	"教一楼三区205,教一楼三区205,教一楼三区205,教一楼三区205"	必修	学科基础平台课程
156	高等数学B(一)	信息与计算科学系		4	0	134	张平芳	"7-17,7-16,7-17"	"?10304,50304,30304"	"教一楼三区208,教一楼三区208,教一楼三区208"	必修	学科基础平台课程
157	高等数学B(一)	信息与计算科学系		4	0	100	鄂学壮	"7-17,7-16,7-17"	"?10102,50102,30102"	"教一楼三区310,教一楼三区310,教一楼三区310"	必修	学科基础平台课程
158	高等数学B(一)	信息与计算科学系		4	0	134	胡佳	"7-17,7-16,7-17"	"?10304,50304,30304"	"教一楼三区405,教一楼三区407,教一楼三区405"	必修	学科基础平台课程
159	线性代数	信息与计算科学系		2	0	100	龚谊承	"7-14,7-14"	"?50506,30506"	"教一楼一区104,教一楼一区104"	必修	学科基础平台课程
160	中国近现代史纲要	政治学教研室		2	0	58	王晓艳	"7-14,7-14"	"?40102,50708"	"管理楼111,管理楼104"	必修	通识教育平台课程
161	中国近现代史纲要	中国近现代史系		2	0	58	张英	"7-14,7-14"	"?40304,30506"	"汽车楼207,汽车楼207"	必修	通识教育平台课程
162	大学生心理健康教育	学工处通识课程教研室		1	0	134	潘婧	9月16日	?10506	教一楼一区202	必修	通识教育平台课程
163	大学生心理健康教育	学工处通识课程教研室		1	0	134	张立(城)	9月16日	?40708	教一楼一区101	必修	通识教育平台课程
164	大学生心理健康教育	学工处通识课程教研室		1	0	100	鞠磊	9月16日	?20506	教一楼三区104	必修	通识教育平台课程
165	设计色彩B	工业设计系		3.5	0	60	苏荷芬	"11-17,12-18"	"?505060708,201020304"	"教一楼二区702,教一楼二区702"	必修	学科基础平台课程
166	工商管理专业导航	工商管理系		0.5	0	84	童泽平	7月10日	?10708	管理楼101	必修	专业核心课程
